annual_inc,application_type,bc_open_to_buy,bc_util,home_ownership,int_rate,loan_amnt,max_bal_bc,percent_bc_gt_75,term,title,total_bc_limit,total_rec_int,total_rev_hi_lim,verification_status,grade_int,emp_length_int
65000,Individual,232,96.9,RENT,23.4,9600,2264,85.7, 36 months,Credit card refinancing,7600,352.04,28500,Not Verified,3,4
33000,Individual,4596,66.9,RENT,26.31,16000,2703,55.6, 60 months,Credit card refinancing,13900,663.64,34900,Source Verified,3,1
90000,Individual,9503,83.8,MORTGAGE,23.4,13000,18037,66.7, 36 months,Other,58600,476.73,62600,Verified,3,2
43000,Individual,126,94.5,OWN,23.4,8000,2174,100, 36 months,Debt consolidation,2300,293.37,11100,Source Verified,3,5
49700,Individual,491,82.5,RENT,23.4,3300,2091,50, 36 months,Vacation,2800,121.01,8900,Source Verified,3,2
19000,Individual,709,93.4,OWN,26.31,12000,8041,100, 36 months,Credit card refinancing,10700,495.01,19100,Not Verified,3,3
171000,Joint App,1753,87.5,MORTGAGE,27.27,25000,12247,50, 60 months,Credit card refinancing,14000,549.19,26000,Not Verified,3,3
52000,Individual,6483,54.3,RENT,23.4,1250,4356,0, 36 months,Other,14200,45.93,27900,Source Verified,3,5
50000,Individual,67,99.3,MORTGAGE,30.75,1000,4959,100, 36 months,Other,9900,48.25,9900,Verified,2,
90000,Individual,20174,7.9,RENT,23.4,4000,1353,0, 36 months,Debt consolidation,21900,146.69,27100,Source Verified,3,2
140000,Individual,0,103.8,MORTGAGE,23.4,16000,3599,100, 36 months,Credit card refinancing,16900,436.8,19900,Not Verified,3,5
52000,Individual,9838,58.5,RENT,25.34,16000,3114,55.6, 36 months,Debt consolidation,23700,635.58,28500,Verified,3,2
100000,Individual,12240,24.4,RENT,23.4,9600,937,9.1, 36 months,Business,16200,352.04,24300,Not Verified,3,2
49400,Individual,16465,15.6,RENT,23.4,8000,1412,12.5, 36 months,Other,19500,293.37,41400,Verified,3,1
55000,Individual,1119,89.3,RENT,23.4,10000,3122,100, 60 months,Debt consolidation,10500,368.76,22000,Source Verified,3,1
50000,Individual,8842,12.5,RENT,27.27,30000,1258,0, 60 months,Debt consolidation,10100,1289.89,11800,Not Verified,3,1
55000,Individual,,,RENT,26.31,14000,0,, 60 months,Debt consolidation,0,296.71,10000,Not Verified,3,
88000,Individual,596,79.4,OWN,27.27,16000,1231,50, 60 months,Debt consolidation,2900,687.94,4900,Source Verified,3,4
62000,Individual,17510,51.9,OWN,26.31,30000,5976,14.3, 60 months,Debt consolidation,36400,1244.33,47500,Source Verified,3,5
140000,Joint App,8,99.7,MORTGAGE,27.27,24000,2792,100, 60 months,Debt consolidation,2800,1031.91,19500,Not Verified,3,5
19200,Individual,470,88.3,RENT,23.4,7075,2179,66.7, 36 months,Debt consolidation,4000,259.45,10000,Not Verified,3,
29000,Individual,193,35.7,RENT,23.4,1000,107,0, 36 months,Debt consolidation,300,36.67,300,Not Verified,3,
450000,Joint App,11632,74.6,MORTGAGE,27.27,8425,9744,50, 36 months,Credit card refinancing,45800,310.15,56000,Verified,3,2
56000,Individual,44474,23.5,RENT,23.4,7200,8699,11.1, 36 months,Debt consolidation,58100,221.91,61300,Not Verified,3,2
35000,Individual,6084,51.3,RENT,23.4,1000,2212,66.7, 36 months,Credit card refinancing,12500,36.67,22700,Source Verified,3,3
39000,Individual,5800,0,MORTGAGE,23.4,1000,0,0, 36 months,Vacation,5800,36.67,5800,Not Verified,3,3
90000,Individual,820,89.1,MORTGAGE,23.4,10000,4782,100, 36 months,Debt consolidation,7500,366.71,10000,Not Verified,3,2
150000,Individual,15550,42,MORTGAGE,24.37,12000,4597,50, 60 months,Credit card refinancing,26800,460.92,30300,Source Verified,3,2
60000,Individual,4974,72.8,RENT,23.4,1000,7688,50, 36 months,Debt consolidation,18300,22.65,18300,Source Verified,3,2
